network_id	PC1_Variance
random_500	0.4077039591863818
random_501	0.5727483749805627
random_502	0.30954159961528105
random_503	0.4308840404795298
random_504	0.24535403382542534
random_505	0.3175265493671564
random_506	0.4314508620939967
random_507	0.4156245467368539
random_508	0.2969800088272349
random_509	0.30095619104608584
random_510	0.5094573457092381
random_511	0.5004954697084723
random_512	0.497099802003796
random_513	0.4832688479660552
random_514	0.4318695982875795
random_515	0.4960886999724171
random_516	0.45845153799462945
random_517	0.3993393335611016
random_518	0.34018173454922923
random_519	0.43673058703543516
random_520	0.3053566009382039
random_521	0.3635800094571106
random_522	0.28053983431976265
random_523	0.5475650189610272
random_524	0.3302244501813021
random_525	0.4244252041605172
random_526	0.3325339175164726
random_527	0.36397410084188686
random_528	0.37759618936691086
random_529	0.3750190583012058
random_530	0.3717996641960952
random_531	0.6015024666990668
random_532	0.3132219272393912
random_533	0.309657381155274
random_534	0.42277157814518984
random_535	0.30322445027049516
random_536	0.41659150360197855
random_537	0.37532936618347734
random_538	0.3871523211652001
random_539	0.2568932386395077
random_540	0.3868762714795603
random_541	0.38932100753389537
random_542	0.24355113662437555
random_543	0.36974985402668853
random_544	0.38588844042033216
random_545	0.5461432111934087
random_546	0.4040554013496506
random_547	0.383604032395121
random_548	0.38863901789900074
random_549	0.4623790938190888
random_550	0.39072508333312783
random_551	0.430006971871594
random_552	0.35880622686098296
random_553	0.30004917764351396
random_554	0.25448613303637707
random_555	0.3603413441426122
random_556	0.47798896897612486
random_557	0.39903095985707465
random_558	0.34014210268238404
random_559	0.46339181618612796
random_560	0.3753574924060391
random_561	0.39877159370578397
random_562	0.39173329799379364
random_563	0.2519076064047619
random_564	0.31811761456066934
random_565	0.3701022000750267
random_566	0.5085222632355452
random_567	0.32332564538886577
random_568	0.36546869002766535
random_569	0.3320437558238042
random_570	0.4663092856221859
random_571	0.40784343813291557
random_572	0.38850602221185954
random_573	0.3621434647767435
random_574	0.4261336207329152
random_575	0.33922570723002504
random_576	0.4707645943186521
random_577	0.310631208238531
random_578	0.41739045231406036
random_579	0.3316927484765239
random_580	0.3942587858604693
random_581	0.3341618345049231
random_582	0.32485916226464545
random_583	0.5321625597174389
random_584	0.4908178597539523
random_585	0.2762250288948038
random_586	0.4214560490240879
random_587	0.28925786909966045
random_588	0.2964153239065705
random_589	0.3206986042583068
random_590	0.41178673246631065
random_591	0.3227796740012696
random_592	0.36821526844892705
random_593	0.40203863174612176
random_594	0.4286004986620613
random_595	0.26576444484050094
random_596	0.420429264008036
random_597	0.35579290234208333
random_598	0.29400091057614963
random_599	0.3157605594375833
random_600	0.6117997443943209
random_601	0.4013078412465532
random_602	0.3684448174092447
random_603	0.4136811720899437
random_604	0.41477346947529464
random_605	0.27169011351713535
random_606	0.35363491232993627
random_607	0.39201837867850775
random_608	0.4640496111595489
random_609	0.29322589866358184
random_610	0.34321033421692865
random_611	0.33627967222906374
random_612	0.45101921073414164
random_613	0.422882105240193
random_614	0.2862428777861863
random_615	0.36697509479745827
random_616	0.35604073721260754
random_617	0.4110220711712597
random_618	0.3303852033772948
random_619	0.39772385411137207
random_620	0.31222001916203895
random_621	0.43899905516981563
random_622	0.4491087025697315
random_623	0.5282296948076174
random_624	0.3698085097385713
random_625	0.5831864020589764
random_626	0.23372774482514552
random_627	0.30026166793168824
random_628	0.38477373476425375
random_629	0.4925181610345595
random_630	0.4806358419161991
random_631	0.48237614982820876
random_632	0.32207282556208977
random_633	0.2982549131871653
random_634	0.365396723162076
random_635	0.31986170305210093
random_636	0.4267387606919736
random_637	0.4561973398643918
random_638	0.5032179729167985
random_639	0.4157879617315184
random_640	0.2803935816290659
random_641	0.3826203092068931
random_642	0.44939305127904783
random_643	0.36906922229195854
random_644	0.46404255234247915
random_645	0.3470201581911663
random_646	0.42478032866190185
random_647	0.4288374859789635
random_648	0.3478635928638321
random_649	0.3144241490825484
random_650	0.3505704649024305
random_651	0.4418466766436552
random_652	0.33546476022066746
random_653	0.30564020678287107
random_654	0.4502028629920702
random_655	0.3433160288155175
random_656	0.4505795205629601
random_657	0.35979387876770086
random_658	0.5083975460778427
