	SLUG	SNAIL	KLF4	mir200	ELF3	ZEB	IRF6	CDH1	GRHL2
random_16	0.5236302388148149	-0.5293712927198188	-0.537118654253302	-0.01325748125015172	0.16626759704296082	0.15745147877136254	0.21897554429647584	-0.05623833322906509	-0.23098977632973372
random_17	-0.3745476061179754	-0.25323130118702564	0.2769858726512767	-0.25917941038062364	-0.42585468709388064	0.47463963594847103	0.48342340273084167	-0.08835637906861993	0.059605569149839235
random_18	0.19430102259782997	-0.47526800842044814	-0.38548664876979255	-0.42154773041982974	0.27799568045311396	-0.38753619483089075	-0.031113347854060898	0.2748954764861259	-0.3256739524828567
random_19	0.43191339382427374	-0.3882138336485633	-0.1575532609629189	-0.44314110237040044	-0.0069895253035475065	0.4435624623357383	-0.2784563092100546	-0.30373091666713137	-0.27378253343361136
random_20	-0.4236683173309171	0.31867945518613316	0.4030926749093062	0.3844085823284315	-0.40316244776261395	-0.2523257424257843	-0.3549390393773232	0.2281339888649006	-0.06678189030561701
random_21	0.47261217940086625	0.4816998116422123	-0.43748241452704295	0.01729612018348539	-0.45316197090049826	-0.25796228796010945	0.2710063339618767	-0.027617664607206584	-0.08249556488780185
random_22	-0.3277675018620197	0.33205686059403183	-0.1330797665294915	-0.2136552744395011	0.21092692832139334	-0.36587742950614865	0.48595838776208444	0.46418399487328055	-0.29827689695019616
random_23	-0.3348749055511721	0.11295667444552238	-0.26043426679031834	0.40516527339562997	0.20544125089319032	0.41279140839409095	-0.408420910938959	0.2983359609972539	-0.41797110033713536
random_24	-0.4560255213088815	-0.12826206729781153	0.3081226919577506	0.3103876054229376	-0.41591422498026404	-0.4138547777069389	0.19081318670588496	0.02569476460866969	-0.4505321235905767
random_25	-0.4318154263809561	-0.42406766853548017	-0.44333869119879454	0.39632468139964516	-0.056788680895599596	0.282961349041726	0.3191334015032626	0.1271379841537067	-0.28067299040491595
random_26	-0.4016144243786841	0.36739354880384156	-0.3378040762551006	0.2275525775982638	0.39406737197970954	-0.30150286387571507	-0.4168912107610665	-0.33023267490279884	-0.09376082953228936
random_27	0.34746028515258687	-0.3159228374625883	-0.3835293699005862	0.2974439426231453	-0.1986525796780095	-0.37752131404004324	0.38852723457044025	-0.28216059388430553	-0.3624130678112768
random_28	0.10185241574868063	-0.22941669314178226	-0.10006074766128524	0.01131432359702858	0.02225692807503478	-0.5639968853311164	-0.22665901444759257	0.49302217506745327	-0.5601971686146927
random_29	-0.34210917999644846	0.13747549466199194	0.328143926083878	0.37537655290136884	0.25319120101640186	-0.3961722274820098	-0.3162601811487263	-0.38725786541452845	0.380037406093026
random_30	-0.4046808392199316	-0.4076470440170302	0.39155159722059296	-0.39920584331289277	-0.4192663578764731	-0.20707207962155524	0.24111035600068687	0.04266320048668346	0.28064545212586417
random_31	-0.4194237474758002	0.2351471737385118	-0.09704439121716651	-0.15638363896745927	0.424624429281469	-0.460882137115004	0.25069879375115206	-0.47793069000086275	0.2256771819334899
random_32	-0.12457582444242656	-0.007075976168919307	-0.3347079519610649	-0.3060292830939705	0.1357684326520584	-0.4506319880547336	-0.4761590169357424	-0.32268544337310245	0.47580657684788347
random_33	0.1855744590813399	0.4346870769437553	-0.36305921800355945	-0.40084517631332967	0.27962116651962443	-0.4557218927905327	0.2599638665354635	0.24024183814074998	-0.27009742888825594
random_34	0.3132529258024716	-0.18324742874731748	0.05508189198465477	-0.429389049871674	-0.4127067432656212	-0.4094241884619802	-0.07056033403098197	0.4096627547210699	-0.41246412932580373
random_35	-0.43328351899306333	0.4659013033827787	-0.4403760919714408	-0.17637196943658026	-0.45062992606742447	-0.3825759476591756	-0.003614983290482765	0.053960032475261474	0.13344195175606244
random_36	0.33439790180988266	0.5102157943903792	-0.467967320243994	-0.41637567953918	0.1962737849518942	-0.3604464774962607	0.07952217581973897	-0.2156117067582538	0.11932527290798528
random_37	-0.3515432527443002	-0.3317076404815833	-0.41148298211569506	-0.08676153311908741	-0.411865863820341	-0.1432795425550269	0.45379372945288554	0.38062475482565117	-0.2203976055314537
random_38	-0.3531102327992207	-0.23494550591280827	-0.2555213712807347	0.36917312335333013	-0.3174186452876312	0.373851040168442	0.3979030736909903	0.28633007513388764	-0.37108333560810564
random_39	-0.41251509895650973	0.48965825539618524	-0.37892265323660146	-0.08534279632468039	-0.47384301225518133	0.28833563939099704	-0.3554245732171499	-0.009406854891419989	0.07155807895174388
random_40	-0.44715158974447117	0.05822957197801659	-0.45517362258653243	-0.38774879269590473	-0.3272572188950316	0.256238560117223	0.36543252691145595	-0.27471226630905243	-0.23951904267753882
